year,to_country,performer,song,performer_orig,song_orig,place_final,points_final
1956,Switzerland,Lys Assia,Refrain,Refrain, Lys Assia,1.0,
1956,Netherlands,Jetty Paerl,De Vogels Van Holland,Holland,De Vogels Van  Jetty Paerl,,
1956,Switzerland,Das Alte Karussell,Lys Assia,Lys Assia,Das Alte Karussell,,
1956,Belgium,Messieurs Les Noyés De La Seine,Fud Leclerc,Fud Leclerc,Messieurs Les Noyés De La Seine,,
1956,Germany,Im Wartesaal Zum Großen Glück,Walter Andreas Schwarz,Walter Andreas Schwarz,Im Wartesaal Zum Großen Glück,,
1956,France,Le Temps Perdu,Mathé Altéry,Mathé Altéry,Le Temps Perdu,,
1956,Luxembourg,Les Amants De Minuit,Michèle Arnaud,Michèle Arnaud,Les Amants De Minuit,,
1956,Italy,Aprite Le Finestre,Franca Raimondi,Franca Raimondi,Aprite Le Finestre,,
1956,Netherlands,Voorgoed Voorbij,Corry Brokken,Corry Brokken,Voorgoed Voorbij,,
1956,Belgium,Le Plus Beau Jour De Ma Vie,Mony Marc,Mony Marc,Le Plus Beau Jour De Ma Vie,,
1956,Germany,So Geht Das Jede Nacht,Freddy Quinn,Freddy Quinn,So Geht Das Jede Nacht,,
1956,France,Il Est Là,Dany Dauberson,Dany Dauberson,Il Est Là,,
1956,Italy,Amami Se Vuoi,Tonina Torielli,Tonina Torielli,Amami Se Vuoi,,
1957,Netherlands,Corry Brokken,Net als toen,toen,Net als  Corry Brokken,1.0,31.0
1957,France,Paule Desjardins,La Belle Amour,Amour,La Belle  Paule Desjardins,2.0,17.0
1957,Denmark,Birthe Wilke & Gustav Winckler,Skibet skal sejle i nat,nat,Skibet skal sejle i  Birthe Wilke & Gustav Winckler,3.0,10.0
1957,Luxembourg,Danièle Dupré,Tant de peine,peine,Tant de  Danièle Dupré,4.0,8.0
1957,Germany,Margot Hielscher,", Telefon",Telefon,",  Margot Hielscher",4.0,8.0
1957,Italy,Nunzio Gallo,Corde della mia chitarra,chitarra,Corde della mia  Nunzio Gallo,6.0,7.0
1957,United Kingdom,Patricia Bredin,All,All, Patricia Bredin,7.0,6.0
1957,Belgium,Bobbejaan Schoepen,Straatdeuntje,Straatdeuntje, Bobbejaan Schoepen,8.0,5.0
1957,Switzerland,Lys Assia,L'Enfant que j'étais,j'étais,L'Enfant que  Lys Assia,8.0,5.0
1957,Austria,Bob Martin,"Wohin, kleines Pony?",Pony?,"Wohin, kleines  Bob Martin",10.0,3.0
1958,France,André Claveau,Dors mon amour,amour,Dors mon  André Claveau,1.0,27.0
1958,Switzerland,Lys Assia,Giorgio,Giorgio, Lys Assia,2.0,24.0
1958,Italy,Domenico Modugno,"Nel , dipinto di blu",blu,"Nel , dipinto di  Domenico Modugno",3.0,13.0
1958,Sweden,Alice Babs,Lilla stjärna,stjärna,Lilla  Alice Babs,4.0,10.0
1958,Belgium,Fud Leclerc,Ma petite chatte,chatte,Ma petite  Fud Leclerc,5.0,8.0
1958,Austria,Liane Augustin,Die ganze Welt braucht Liebe,Liebe,Die ganze Welt braucht  Liane Augustin,5.0,8.0
1958,Germany,Margot Hielscher,Für zwei Groschen Musik,Musik,Für zwei Groschen  Margot Hielscher,7.0,5.0
1958,Denmark,Raquel Rastenni,Jeg rev et blad ud af min dagbog,dagbog,Jeg rev et blad ud af min  Raquel Rastenni,8.0,3.0
1958,Netherlands,Corry Brokken,Heel de wereld,wereld,Heel de  Corry Brokken,9.0,1.0
1958,Luxembourg,Solange Berry,Un grand amour,amour,Un grand  Solange Berry,9.0,1.0
1959,Netherlands,Teddy Scholten,Een beetje,beetje,Een  Teddy Scholten,1.0,21.0
1959,United Kingdom,Pearl Carr & Teddy Johnson,Sing Little Birdie,Birdie,Sing Little  Pearl Carr & Teddy Johnson,2.0,16.0
1959,France,Jean Philippe,"Oui, , , oui",oui,"Oui, , ,  Jean Philippe",3.0,15.0
1959,Switzerland,Christa Williams,Irgendwoher,Irgendwoher, Christa Williams,4.0,14.0
1959,Denmark,Birthe Wilke,"Uh, jeg ville ønske jeg var dig",dig,"Uh, jeg ville ønske jeg var  Birthe Wilke",5.0,12.0
1959,Italy,Domenico Modugno,Piove,Piove, Domenico Modugno,6.0,9.0
1959,Belgium,Bob Benny,Hou toch van mij,mij,Hou toch van  Bob Benny,6.0,9.0
1959,Germany,Alice and Ellen Kessler,Heut' woll'n wir tanzen geh'n,geh'n,Heut' woll'n wir tanzen  Alice and Ellen Kessler,8.0,5.0
1959,Sweden,Brita Borg,Augustin,Augustin, Brita Borg,9.0,4.0
1959,Austria,Ferry Graf,Der K. und K. Kalypso aus Wien,Wien,Der K. und K. Kalypso aus  Ferry Graf,9.0,4.0
1959,Monaco,Jacques Pills,Mon ami Pierrot,Pierrot,Mon ami  Jacques Pills,11.0,1.0
1960,France,Jacqueline Boyer,Tom Pillibi,Pillibi,Tom  Jacqueline Boyer,1.0,32.0
1960,United Kingdom,Bryan Johnson,"Looking , , High",High,"Looking , ,  Bryan Johnson",2.0,25.0
1960,Monaco,François Deguelt,Ce soir-là,soir-là,Ce  François Deguelt,3.0,15.0
1960,Norway,Nora Brockstedt,Voi-voi,Voi-voi, Nora Brockstedt,4.0,11.0
1960,Germany,Wyn Hoop,Bonne nuit ma chérie,chérie,Bonne nuit ma  Wyn Hoop,4.0,11.0
1960,Belgium,Fud Leclerc,Mon amour pour toi,toi,Mon amour pour  Fud Leclerc,6.0,9.0
1960,Austria,Harry Winter,Du hast mich so fasziniert,fasziniert,Du hast mich so  Harry Winter,7.0,6.0
1960,Switzerland,Anita Traversi,Cielo e terra,terra,Cielo e  Anita Traversi,8.0,5.0
1960,Italy,Renato Rascel,Romantica,Romantica, Renato Rascel,8.0,5.0
1960,Sweden,Siw Malmkvist,Alla andra får varann,varann,Alla andra får  Siw Malmkvist,10.0,4.0
1960,Denmark,Katy Bødtger,Det var en yndig tid,tid,Det var en yndig  Katy Bødtger,10.0,4.0
1960,Netherlands,Rudi Carrell,Wat een geluk,geluk,Wat een  Rudi Carrell,12.0,2.0
1960,Luxembourg,Camillo Felgen,So laang we's du do bast,bast,So laang we's du do  Camillo Felgen,13.0,1.0
1961,Luxembourg,Jean-Claude Pascal,Nous les amoureux,amoureux,Nous les  Jean-Claude Pascal,1.0,31.0
1961,United Kingdom,The Allisons,Are You Sure?,Sure?,Are You  The Allisons,2.0,24.0
1961,Switzerland,Franca di Rienzo,Nous aurons demain,demain,Nous aurons  Franca di Rienzo,3.0,16.0
1961,France,Jean-Paul Mauric,"Printemps, avril carillonne",carillonne,"Printemps, avril  Jean-Paul Mauric",4.0,13.0
1961,Denmark,Dario Campeotto,Angelique,Angelique, Dario Campeotto,5.0,12.0
1961,Italy,Betty Curtis,Al di là,là,Al di  Betty Curtis,5.0,12.0
1961,Norway,Nora Brockstedt,Sommer i Palma,Palma,Sommer i  Nora Brockstedt,7.0,10.0
1961,Yugoslavia,Ljiljana Petrović,Neke davne zvezde,zvezde,Neke davne  Ljiljana Petrović,8.0,9.0
1961,Spain,Conchita Bautista,Estando contigo,contigo,Estando  Conchita Bautista,9.0,8.0
1961,Monaco,Colette Deréal,"Allons, allons les enfants",enfants,"Allons, allons les  Colette Deréal",10.0,6.0
1961,Finland,Laila Kinnunen,Valoa ikkunassa,ikkunassa,Valoa  Laila Kinnunen,10.0,6.0
1961,Netherlands,Greetje Kauffeld,Wat een dag,dag,Wat een  Greetje Kauffeld,10.0,6.0
1961,Germany,Lale Andersen,Einmal sehen wir uns wieder,wieder,Einmal sehen wir uns  Lale Andersen,13.0,3.0
1961,Sweden,Lill-Babs,"April, april",april,"April,  Lill-Babs",14.0,2.0
1961,Austria,Jimmy Makulis,Sehnsucht,Sehnsucht, Jimmy Makulis,15.0,1.0
1961,Belgium,Bob Benny,"September, gouden roos",roos,"September, gouden  Bob Benny",15.0,1.0
1962,France,Isabelle Aubret,Un premier amour,amour,Un premier  Isabelle Aubret,1.0,26.0
1962,Monaco,François Deguelt,Dis rien,rien,Dis  François Deguelt,2.0,13.0
1962,Luxembourg,Camillo Felgen,Petit bonhomme,bonhomme,Petit  Camillo Felgen,3.0,11.0
1962,Yugoslavia,Lola Novaković,Ne pali svetla u sumrak,sumrak,Ne pali svetla u  Lola Novaković,4.0,10.0
1962,United Kingdom,Ronnie Carroll,Ring-A-Ding Girl,Girl,Ring-A-Ding  Ronnie Carroll,4.0,10.0
1962,Germany,Conny Froboess,Zwei kleine Italiener,Italiener,Zwei kleine  Conny Froboess,6.0,9.0
1962,Finland,Marion Rung,Tipi-tii,Tipi-tii, Marion Rung,7.0,4.0
1962,Sweden,Inger Berggren,Sol och vår,vår,Sol och  Inger Berggren,7.0,4.0
1962,Italy,Claudio Villa,"Addio, addio",addio,"Addio,  Claudio Villa",9.0,3.0
1962,Denmark,Ellen Winther,Vuggevise,Vuggevise, Ellen Winther,10.0,2.0
1962,Norway,Inger Jacobsen,"Kom sol, kom regn",regn,"Kom sol, kom  Inger Jacobsen",10.0,2.0
1962,Switzerland,Jean Philippe,Le Retour,Retour,Le  Jean Philippe,10.0,2.0
1962,Belgium,Fud Leclerc,Ton nom,nom,Ton  Fud Leclerc,13.0,0.0
1962,Spain,Victor Balaguer,Llámame,Llámame, Victor Balaguer,13.0,0.0
1962,Austria,Eleonore Schwarz,Nur in der Wiener Luft,Luft,Nur in der Wiener  Eleonore Schwarz,13.0,0.0
1962,Netherlands,De Spelbrekers,Katinka,Katinka, De Spelbrekers,13.0,0.0
1963,Denmark,Grethe & Jørgen Ingmann,Dansevise,Dansevise, Grethe & Jørgen Ingmann,1.0,42.0
1963,Switzerland,Esther Ofarim,T'en vas pas,pas,T'en vas  Esther Ofarim,2.0,40.0
1963,Italy,Emilio Pericoli,Uno per tutte,tutte,Uno per  Emilio Pericoli,3.0,37.0
1963,United Kingdom,Ronnie Carroll,Say Wonderful Things,Things,Say Wonderful  Ronnie Carroll,4.0,28.0
