year,country,artist,song,place_final,points_total,jury_points,tele_points,spotify_pop,yt_views_millions,youtube_url
2016,Armenia,Iveta Mukuchyan,LoveWave,7.0,249.0,115.0,134.0,49.0,18.0,https://youtube.com/watch?v=nL066Rp7J7k
2016,Australia,Dami Im,Sound of Silence,2.0,511.0,320.0,191.0,48.0,30.0,https://youtube.com/watch?v=5ymFX91HwM0
2016,Austria,Zoë,Loin d'ici,13.0,151.0,31.0,120.0,,,https://youtube.com/watch?v=3xuPYt5i5cE
2016,Azerbaijan,Samra,Miracle,17.0,117.0,44.0,73.0,,,https://youtube.com/watch?v=cB8eSLyffsI
2016,Belgium,Laura Tesoro,What's the Pressure,10.0,181.0,130.0,51.0,50.0,15.0,https://youtube.com/watch?v=xDBjhAGaeWg
2016,Bulgaria,Poli Genova,If Love Was a Crime,4.0,307.0,127.0,180.0,46.0,28.0,https://youtube.com/watch?v=PQqUTigWKHY
2016,Croatia,Nina Kraljić,Lighthouse,23.0,73.0,40.0,33.0,,,
2016,Cyprus,Minus One,Alter Ego,21.0,96.0,43.0,53.0,,,
2016,Czechia,Gabriela Gunčíková,I Stand,25.0,41.0,41.0,0.0,,,
2016,France,Amir,J'ai cherché,6.0,257.0,148.0,109.0,58.0,75.0,https://youtube.com/watch?v=-aLPsiyavcU
2016,Georgia,Nika Kocharov & Young Georgian Lolitaz,Midnight Gold,20.0,104.0,80.0,24.0,,,
2016,Germany,Jamie-Lee,Ghost,26.0,11.0,1.0,10.0,,,
2016,Hungary,Freddie,Pioneer,19.0,108.0,52.0,56.0,,,
2016,Israel,Hovi Star,Made of Stars,14.0,135.0,124.0,11.0,,,https://youtube.com/watch?v=SS5TB2XUdgs
2016,Italy,Francesca Michielin,No Degree of Separation,16.0,124.0,90.0,34.0,,,https://youtube.com/watch?v=YfnhDfy8AjU
2016,Latvia,Justs,Heartbeat,15.0,132.0,69.0,63.0,,,https://youtube.com/watch?v=o-2Lt7zzlBU
2016,Lithuania,Donny Montell,I've Been Waiting for This Night,9.0,200.0,104.0,96.0,42.0,12.0,https://youtube.com/watch?v=O1wS7NNCo38
2016,Malta,Ira Losco,Walk on Water,12.0,153.0,137.0,16.0,,,https://youtube.com/watch?v=58YS5m3EYVY
2016,Netherlands,Douwe Bob,Slow Down,11.0,153.0,114.0,39.0,,,https://youtube.com/watch?v=PwF9DI89q1w
2016,Poland,Michał Szpak,Color of Your Life,8.0,229.0,7.0,222.0,53.0,40.0,https://youtube.com/watch?v=87BBmxm7IJU
2016,Russia,Sergey Lazarev,You Are the Only One,3.0,491.0,130.0,361.0,52.0,80.0,https://youtube.com/watch?v=e94dst20C9Y
2016,Serbia,Sanja Vučić ZAA,Goodbye (Shelter),18.0,115.0,35.0,80.0,,,
2016,Spain,Barei,Say Yay!,22.0,77.0,67.0,10.0,,,
2016,Sweden,Frans,If I Were Sorry,5.0,261.0,122.0,139.0,55.0,55.0,https://youtube.com/watch?v=2AIPrVchJN8
2016,Ukraine,Jamala,1944,1.0,534.0,211.0,323.0,52.0,75.0,https://youtube.com/watch?v=B-rnM-MwRHY
2016,United Kingdom,Joe & Jake,You're Not Alone,24.0,62.0,54.0,8.0,,,
2017,Armenia,Artsvik,Fly With Me,18.0,79.0,58.0,21.0,,,
2017,Australia,Isaiah,Don't Come Easy,9.0,173.0,171.0,2.0,,,https://youtube.com/watch?v=YTCP4S1dqwA
2017,Austria,Nathan Trent,Running On Air,16.0,93.0,93.0,0.0,,,https://youtube.com/watch?v=gJIjZF5sgzg
2017,Azerbaijan,Dihaj,Skeletons,14.0,120.0,78.0,42.0,,,https://youtube.com/watch?v=g_HSRHqd_7s
2017,Belarus,Naviband,Story Of My Life,17.0,83.0,50.0,33.0,,,
2017,Belgium,Blanche,City Lights,4.0,363.0,108.0,255.0,62.0,80.0,https://youtube.com/watch?v=oxsCmChDYwA
2017,Bulgaria,Kristian Kostov,Beautiful Mess,2.0,615.0,278.0,337.0,60.0,68.0,https://youtube.com/watch?v=OMmm-G078LM
2017,Croatia,Jacques Houdek,My Friend,13.0,128.0,25.0,103.0,,,https://youtube.com/watch?v=4Sya_GIxsw0
2017,Cyprus,Hovig,Gravity,21.0,68.0,36.0,32.0,,,
2017,Denmark,Anja,Where I Am,20.0,77.0,69.0,8.0,,,
2017,France,Alma,Requiem,12.0,135.0,45.0,90.0,,,https://youtube.com/watch?v=HjiLKsLQl4I
2017,Germany,Levina,Perfect Life,25.0,6.0,3.0,3.0,,,
2017,Greece,Demy,This is Love,19.0,77.0,48.0,29.0,,,
2017,Hungary,Joci Pápai,Origo,8.0,200.0,48.0,152.0,48.0,18.0,https://youtube.com/watch?v=hqM0AkP7zcI
2017,Israel,Imri Ziv,I Feel Alive,23.0,39.0,34.0,5.0,,,
2017,Italy,Francesco Gabbani,Occidentali's Karma,6.0,334.0,126.0,208.0,68.0,210.0,https://youtube.com/watch?v=KieE_MLv-ZY
2017,Moldova,Sunstroke Project,Hey Mamma,3.0,374.0,110.0,264.0,55.0,55.0,https://youtube.com/watch?v=SWaQdHoCvYk
2017,Netherlands,OG3NE,Lights And Shadows,11.0,150.0,135.0,15.0,49.0,15.0,https://youtube.com/watch?v=_9XsCqGg8ls
2017,Norway,Jowst,Grab the Moment,10.0,158.0,129.0,29.0,53.0,22.0,https://youtube.com/watch?v=U-Bk0PCotY0
2017,Poland,Kasia Moś,Flashlight,22.0,64.0,23.0,41.0,,,
2017,Portugal,Salvador Sobral,Amar pelos dois,1.0,758.0,382.0,376.0,65.0,55.0,https://youtube.com/watch?v=Qotooj7ODCM
2017,Romania,Ilinca feat. Alex Florea,Yodel It!,7.0,282.0,58.0,224.0,,,https://youtube.com/watch?v=ZSHc7iDuBCQ
2017,Spain,Manel Navarro,Do It for Your Lover,26.0,5.0,0.0,5.0,,,
2017,Sweden,Robin Bengtsson,I Can't Go On,5.0,344.0,218.0,126.0,57.0,35.0,https://youtube.com/watch?v=RjH_4oYqLw4
2017,Ukraine,O.Torvald,Time,24.0,36.0,12.0,24.0,,,
2017,United Kingdom,Lucie Jones,Never Give Up on You,15.0,111.0,99.0,12.0,,,https://youtube.com/watch?v=Fl1GYTg4GmA
2018,Albania,Eugent Bushpepa,Mall,11.0,184.0,126.0,58.0,,,https://youtube.com/watch?v=uyl1b1fVmdU
2018,Australia,Jessica Mauboy,We Got Love,20.0,99.0,90.0,9.0,,,
2018,Austria,Cesár Sampson,Nobody But You,3.0,342.0,271.0,71.0,50.0,18.0,https://youtube.com/watch?v=a8Yvzo1puoE
2018,Bulgaria,Equinox,Bones,14.0,166.0,100.0,66.0,,,https://youtube.com/watch?v=vC-1tdGDFQc
2018,Cyprus,Eleni Foureira,Fuego,2.0,436.0,183.0,253.0,70.0,180.0,https://youtube.com/watch?v=vyDTbJ4wenY
2018,Czechia,Mikolas Josef,Lie To Me,6.0,281.0,66.0,215.0,,,https://youtube.com/watch?v=w0ZUuQe0shk
2018,Denmark,Rasmussen,Higher Ground,9.0,226.0,38.0,188.0,54.0,30.0,https://youtube.com/watch?v=c0kP074Mw0k
2018,Estonia,Elina Nechayeva,La forza,8.0,245.0,143.0,102.0,52.0,15.0,https://youtube.com/watch?v=ImawXdXIGd8
2018,Finland,Saara Aalto,Monsters,25.0,46.0,23.0,23.0,,,
2018,France,Madame Monsieur,Mercy,13.0,173.0,114.0,59.0,,,https://youtube.com/watch?v=vjLuTtUv0Ns
2018,Germany,Michael Schulte,You Let Me Walk Alone,4.0,340.0,204.0,136.0,56.0,30.0,https://youtube.com/watch?v=N4YwSy4Q9k0
2018,Hungary,AWS,Viszlát nyár,21.0,93.0,28.0,65.0,,,
2018,Ireland,Ryan O'Shaughnessy,Together,16.0,136.0,74.0,62.0,,,
2018,Israel,Netta,Toy,1.0,529.0,212.0,317.0,64.0,170.0,https://youtube.com/watch?v=84LBjXaeKk4
2018,Italy,Ermal Meta & Fabrizio Moro,Non mi avete fatto niente,5.0,308.0,59.0,249.0,55.0,30.0,https://youtube.com/watch?v=81M-mp5t8uM
2018,Lithuania,Ieva Zasimauskaitė,When We're Old,12.0,181.0,90.0,91.0,,,https://youtube.com/watch?v=pPDFhfU25go
2018,Moldova,DoReDos,My Lucky Day,10.0,209.0,94.0,115.0,53.0,38.0,https://youtube.com/watch?v=5evrVL1rJPA
2018,Netherlands,Waylon,Outlaw In 'Em,18.0,121.0,89.0,32.0,,,
2018,Norway,Alexander Rybak,That's How You Write a Song,15.0,144.0,60.0,84.0,,,
2018,Portugal,Cláudia Pascoal,O jardim,26.0,39.0,21.0,18.0,,,
2018,Serbia,Sanja Ilić & Balkanika,Nova deca,19.0,113.0,38.0,75.0,,,
2018,Slovenia,Lea Sirk,"Hvala, ne!",22.0,64.0,41.0,23.0,,,
2018,Spain,Amaia & Alfred,Tu canción,23.0,61.0,43.0,18.0,,,
2018,Sweden,Benjamin Ingrosso,Dance You Off,7.0,274.0,253.0,21.0,58.0,40.0,https://youtube.com/watch?v=z101xtUBflU
2018,Ukraine,Mélovin,Under The Ladder,17.0,130.0,11.0,119.0,,,
2018,United Kingdom,SuRie,Storm,24.0,48.0,23.0,25.0,,,
2019,Albania,Jonida Maliqi,Ktheju tokës,17.0,90.0,43.0,47.0,,,
2019,Australia,Kate Miller-Heidke,Zero Gravity,9.0,284.0,153.0,131.0,55.0,18.0,https://youtube.com/watch?v=Eo5H62mCIsg
2019,Azerbaijan,Chingiz,Truth,8.0,302.0,202.0,100.0,52.0,15.0,https://youtube.com/watch?v=D6vvuCiHwSs
2019,Belarus,Zena,Like It,24.0,31.0,18.0,13.0,,,
2019,Cyprus,Tamta,Replay,13.0,109.0,77.0,32.0,,,https://youtube.com/watch?v=wIpEI-NhRxg
2019,Czechia,Lake Malawi,of a Friend,11.0,157.0,150.0,7.0,,,https://youtube.com/watch?v=NJxLKFZKhNs
