year,country,artist,song,place_final,points_jury_final,points_tele_final,yt_views,predicted_log_yt,expected_views,resid
2016,Armenia,Iveta Mukuchyan,LoveWave,7.0,115.0,134.0,4993536.0,6.559186917166691,3623989.3870756836,0.1392212680249285
2016,Australia,Dami Im,Sound of Silence,2.0,320.0,191.0,16952592.0,6.995655142359891,9900454.731503187,0.23358096756772362
2016,Austria,Zoë,Loin d'ici,13.0,31.0,120.0,2219100.0,6.569557178733962,3711565.9234508653,-0.22338030531239195
2016,Azerbaijan,Samra,Miracle,17.0,44.0,73.0,1748219.0,6.400589713929442,2515299.554712835,-0.15799387800289644
2016,Belgium,Laura Tesoro,What's the Pressure,10.0,130.0,51.0,3122937.0,6.172938017175456,1489148.5301817523,0.32162520598258926
2016,Bulgaria,Poli Genova,If Love Was a Crime,4.0,127.0,180.0,12051707.0,6.576510597601564,3771469.4799344633,0.5045379670003189
2016,Croatia,Nina Kraljić,Lighthouse,23.0,40.0,33.0,1011879.0,6.0210278023631645,1049609.6196828294,-0.015899219478074933
2016,Cyprus,Minus One,Alter Ego,21.0,43.0,53.0,826318.0,6.3840256946042695,2421172.2887669397,-0.4668784813425244
2016,Czechia,Gabriela Gunčíková,I Stand,25.0,41.0,0.0,964022.0,6.075187898111683,1189016.545831144,-0.0911009530370901
2016,France,Amir,J'ai cherché,6.0,148.0,109.0,4262360.0,6.698323483238582,4992562.1883901935,-0.06867335568987176
2016,Georgia,Nika Kocharov & Young Georgian Lolitaz,Midnight Gold,20.0,80.0,24.0,946058.0,6.068719462445015,1171438.416869718,-0.09280169992504028
2016,Germany,Jamie-Lee,Ghost,26.0,1.0,10.0,5007785.0,6.28524867958356,1928628.9413889197,0.4143969953875857
2016,Hungary,Freddie,Pioneer,19.0,52.0,56.0,5114396.0,6.4235104169516255,2651614.693657803,0.2852839348099785
2016,Israel,Hovi Star,Made of Stars,14.0,124.0,11.0,1359294.0,6.0698347407779645,1174450.5639530998,0.06347865912489858
2016,Italy,Francesca Michielin,No Degree of Separation,16.0,90.0,34.0,3286018.0,6.271003966008903,1866396.7348280377,0.24566597205522278
2016,Latvia,Justs,Heartbeat,15.0,69.0,63.0,1980565.0,6.108174678872906,1282846.4563852714,0.1886144211762133
2016,Lithuania,Donny Montell,I've Been Waiting for This Night,9.0,104.0,96.0,1871592.0,6.255453029844572,1800748.3679683013,0.016758150315621556
2016,Malta,Ira Losco,Walk on Water,12.0,137.0,16.0,1147834.0,6.284816790143567,1926711.9461828142,-0.22493770530181134
2016,Netherlands,Douwe Bob,Slow Down,11.0,114.0,39.0,1052244.0,6.243643030211523,1752439.4862565165,-0.22152657217475635
2016,Poland,Michał Szpak,Color of Your Life,8.0,7.0,222.0,4126901.0,6.741346248085866,5512470.115807597,-0.1257221973498135
2016,Russia,Sergey Lazarev,You Are the Only One,3.0,130.0,361.0,55186222.0,7.562336739142562,36503687.60599973,0.1794939245238245
2016,Serbia,Sanja Vučić ZAA,Goodbye (Shelter),18.0,35.0,80.0,2065248.0,6.17711108525256,1503526.4937979789,0.13786112500838943
2016,Spain,Barei,Say Yay!,22.0,67.0,10.0,8792252.0,6.608044567072533,4055501.506573803,0.3360555600955202
2016,Sweden,Frans,If I Were Sorry,5.0,122.0,139.0,9726970.0,6.494762841042978,3124372.7478489764,0.49321473537999605
2016,Ukraine,Jamala,1944,1.0,211.0,323.0,33653295.0,7.145092918882316,13966671.511026489,0.381934673608165
2016,United Kingdom,Joe & Jake,You're Not Alone,24.0,54.0,8.0,5509526.0,6.273410563086557,1876767.8843101661,0.4677036737980167
